         1247635 function calls (1225710 primitive calls) in 1.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.179    0.002    0.183    0.002 {built-in method _imp.create_dynamic}
      698    0.173    0.000    0.173    0.000 {built-in method io.open_code}
      707    0.140    0.000    0.140    0.000 {method 'read' of '_io.BufferedReader' objects}
      698    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
      102    0.036    0.000    0.036    0.000 {built-in method posix.listdir}
     7303    0.025    0.000    0.043    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:626(cleandoc)
    88/54    0.021    0.000    0.133    0.002 {built-in method _imp.exec_dynamic}
1846/1732    0.015    0.000    0.198    0.000 {built-in method builtins.__build_class__}
     3077    0.013    0.000    0.013    0.000 {built-in method posix.stat}
     6826    0.012    0.000    0.013    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:358(__call__)
      452    0.011    0.000    0.011    0.000 {built-in method builtins.dir}
     9965    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        2    0.010    0.005    0.010    0.005 {method 'poll' of 'select.poll' objects}
     1464    0.008    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
      734    0.007    0.000    0.007    0.000 {method '__exit__' of '_io._IOBase' objects}
    861/1    0.007    0.000    1.007    1.007 {built-in method builtins.exec}
  975/300    0.007    0.000    0.017    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:494(_parse)
   117088    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    72506    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      223    0.006    0.000    0.018    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1517(get_setters)
       45    0.005    0.000    0.006    0.000 {built-in method io.open}
      405    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
      223    0.005    0.000    0.009    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1453(<listcomp>)
157553/155565    0.005    0.000    0.005    0.000 {built-in method builtins.len}
        5    0.005    0.001    0.005    0.001 {built-in method _posixsubprocess.fork_exec}
     4252    0.004    0.000    0.062    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1470(get_valid_values)
        1    0.004    0.004    0.006    0.006 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/generic.py:226(NDFrame)
      223    0.004    0.000    0.029    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1442(get_aliases)
    56522    0.004    0.000    0.004    0.000 {built-in method builtins.min}
    83972    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
     1081    0.004    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
21198/21189    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
        8    0.004    0.000    0.004    0.000 {built-in method posix.read}
    77916    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     3516    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1003ab388}
     9629    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
       30    0.003    0.000    0.016    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:847(_rc_params_in_file)
 1803/284    0.003    0.000    0.007    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:87(_compile)
        1    0.003    0.003    0.003    0.003 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/linalg/linalg.py:2191(lstsq)
     6212    0.003    0.000    0.015    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2498(__init__)
       45    0.003    0.000    0.005    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:179(__new__)
      819    0.003    0.000    0.066    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     7443    0.003    0.000    0.034    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/re.py:289(_compile)
     7317    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.002    0.002    0.006    0.006 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/lib/scimath.py:1(<module>)
      954    0.002    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2781(__init__)
     7315    0.002    0.000    0.041    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:607(getdoc)
    833/1    0.002    0.000    1.007    1.007 <frozen importlib._bootstrap>:1002(_find_and_load)
      698    0.002    0.000    0.329    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     1396    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      701    0.002    0.000    0.016    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2152(_signature_from_function)
      746    0.002    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:88(__setitem__)
    14602    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      117    0.002    0.000    0.076    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1598(pprint_setters)
    12710    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:234(__next)
     5863    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
    45160    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     4252    0.002    0.000    0.004    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1555(aliased_name)
     5863    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      385    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:292(_optimize_charset)
     1845    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      794    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      556    0.002    0.000    0.002    0.000 {built-in method numpy.array}
 2129/633    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:175(getwidth)
    11722    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:165(__getitem__)
    794/1    0.001    0.000    1.007    1.007 <frozen importlib._bootstrap>:659(_load_unlocked)
    829/1    0.001    0.000    1.007    1.007 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      965    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/functools.py:35(update_wrapper)
       62    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
     1845    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
     1845    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
  793/715    0.001    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2246(_signature_from_callable)
     5771    0.001    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/re.py:198(search)
      814    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
    10485    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:255(get)
      405    0.001    0.000    0.015    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/textwrap.py:414(dedent)
      698    0.001    0.000    0.279    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1162    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:137(_type_check)
        1    0.001    0.001    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/ma/core.py:1(<module>)
     3451    0.001    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:713(__setattr__)
     1679    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
  711/284    0.001    0.000    0.018    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:436(_parse_sub)
      175    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       44    0.001    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/collections/__init__.py:345(namedtuple)
     7447    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     4442    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      786    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
    12986    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      105    0.001    0.000    0.004    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:170(<listcomp>)
